# apt_installed
# generated_at=2026-02-20T17:34:31-03:00
# shell=dpkg-query -W -f='${Package}\t${Version}\n' | LC_ALL=C sort

7zip	23.01+dfsg-11
accountsservice	23.13.9-2ubuntu6
acl	2.3.2-1build1.1
adduser	3.137ubuntu1
adwaita-icon-theme	46.0-1
alsa-base	1.0.25+dfsg-0ubuntu7
alsa-topology-conf	1.2.5.1-2
alsa-ucm-conf	1.2.10-1ubuntu5.9
alsa-utils	1.2.9-1ubuntu5
amd64-microcode	3.20250311.1ubuntu0.24.04.1
anacron	2.3-39ubuntu2
antigravity	1.18.3-1771473975
apg	2.2.3.dfsg.1-5build3
apparmor	4.0.1really4.0.1-0ubuntu0.24.04.5
apport	2.28.1-0ubuntu3.8
apport-core-dump-handler	2.28.1-0ubuntu3.8
apport-gtk	2.28.1-0ubuntu3.8
apport-symptoms	0.25
appstream	1.0.2-1build6
apt	2.8.3
apt-config-icons	1.0.2-1build6
apt-config-icons-hidpi	1.0.2-1build6
apt-transport-https	2.8.3
apt-utils	2.8.3
aptdaemon	1.1.1+bzr982-0ubuntu44
aptdaemon-data	1.1.1+bzr982-0ubuntu44
aspell	0.60.8.1-1build1
aspell-en	2020.12.07-0-1
at-spi2-common	2.52.0-1build1
at-spi2-core	2.52.0-1build1
audacious	4.3.1-2.1build2
audacious-plugins	4.3.1-3build5
audacious-plugins-data	4.3.1-3build5
avahi-daemon	0.8-13ubuntu6.1
baobab	46.0-1build1
base-files	13ubuntu10.4
base-passwd	3.6.3build1
bash	5.2.21-2ubuntu4
bash-completion	1:2.11-8
bc	1.07.1-3ubuntu4
bind9-dnsutils	1:9.18.39-0ubuntu0.24.04.2
bind9-host	1:9.18.39-0ubuntu0.24.04.2
bind9-libs	1:9.18.39-0ubuntu0.24.04.2
binutils	2.42-4ubuntu2.8
binutils-common	2.42-4ubuntu2.8
binutils-x86-64-linux-gnu	2.42-4ubuntu2.8
blt	2.5.3+dfsg-7build1
bluez	5.72-0ubuntu5.5
bluez-cups	5.72-0ubuntu5.5
bluez-obexd	5.72-0ubuntu5.5
bolt	0.9.7-1
bpfcc-tools	0.29.1+ds-1ubuntu7
bpftrace	0.20.2-1ubuntu4.3
bridge-utils	1.7.1-1ubuntu2
brltty	6.6-4ubuntu5
bsdextrautils	2.39.3-9ubuntu6.4
bsdutils	1:2.39.3-9ubuntu6.4
bubblewrap	0.9.0-1ubuntu0.1
build-essential	12.10ubuntu1
busybox-initramfs	1:1.36.1-6ubuntu3.1
busybox-static	1:1.36.1-6ubuntu3.1
bzip2	1.0.8-5.1build0.1
ca-certificates	20240203
ca-certificates-java	20240118
cabextract	1.11-2
cheese	44.1-1build4
cheese-common	44.1-1build4
cloud-guest-utils	0.33-1
cloud-init	25.2-0ubuntu1~24.04.1
code	1.109.4-1771257466
colord	1.4.7-1build2
colord-data	1.4.7-1build2
command-not-found	23.04.0
console-setup	1.226ubuntu1
console-setup-linux	1.226ubuntu1
containerd	1.7.27-0ubuntu1~24.04.1
containerd.io	2.2.1-1~ubuntu.24.04~noble
coreutils	9.4-3ubuntu6.1
cpio	2.15+dfsg-1ubuntu2
cpp	4:13.2.0-7ubuntu1
cpp-13	13.3.0-6ubuntu2~24.04.1
cpp-13-x86-64-linux-gnu	13.3.0-6ubuntu2~24.04.1
cpp-x86-64-linux-gnu	4:13.2.0-7ubuntu1
cracklib-runtime	2.9.6-5.1build2
cron	3.0pl1-184ubuntu2
cron-daemon-common	3.0pl1-184ubuntu2
cups	2.4.7-1.2ubuntu7.9
cups-browsed	2.0.0-0ubuntu10.3
cups-bsd	2.4.7-1.2ubuntu7.9
cups-client	2.4.7-1.2ubuntu7.9
cups-common	2.4.7-1.2ubuntu7.9
cups-core-drivers	2.4.7-1.2ubuntu7.9
cups-daemon	2.4.7-1.2ubuntu7.9
cups-filters	2.0.0-0ubuntu4.1
cups-filters-core-drivers	2.0.0-0ubuntu4.1
cups-ipp-utils	2.4.7-1.2ubuntu7.9
cups-pk-helper	0.2.6-1ubuntu8
cups-ppdc	2.4.7-1.2ubuntu7.9
cups-server-common	2.4.7-1.2ubuntu7.9
curl	8.5.0-2ubuntu10.6
dash	0.5.12-6ubuntu5
dbus	1.14.10-4ubuntu4.1
dbus-bin	1.14.10-4ubuntu4.1
dbus-daemon	1.14.10-4ubuntu4.1
dbus-session-bus-common	1.14.10-4ubuntu4.1
dbus-system-bus-common	1.14.10-4ubuntu4.1
dbus-user-session	1.14.10-4ubuntu4.1
dc	1.07.1-3ubuntu4
dconf-cli	0.40.0-4ubuntu0.1
dconf-gsettings-backend	0.40.0-4ubuntu0.1
dconf-service	0.40.0-4ubuntu0.1
debconf	1.5.86ubuntu1
debconf-i18n	1.5.86ubuntu1
debianutils	5.17build1
default-jre	2:1.21-75+exp1
default-jre-headless	2:1.21-75+exp1
desktop-file-utils	0.27-2build1
dhcpcd-base	1:10.0.6-1ubuntu3.2
dictionaries-common	1.29.7
diffutils	1:3.10-1build1
dirmngr	2.4.4-2ubuntu17.4
distro-info	1.7build1
distro-info-data	0.60ubuntu0.5
dkms	3.0.11-1ubuntu13
dmidecode	3.5-3ubuntu0.1
dmsetup	2:1.02.185-3ubuntu3.2
dmz-cursor-theme	0.4.5ubuntu1
dns-root-data	2024071801~ubuntu0.24.04.1
dnsmasq-base	2.90-2ubuntu0.1
docbook-xml	4.5-12
docker-buildx-plugin	0.31.1-1~ubuntu.24.04~noble
